Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:8.343,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.344,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.345,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.346,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.347,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.348,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.349,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.350,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.351,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.352,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.353,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.354,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.355,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.356,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.367,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.368,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.369,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.370,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.371,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.372,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.373,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.374,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.375,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.376,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.384,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.385,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.386,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.387,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.388,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.389,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.390,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.391,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.392,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.393,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.394,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.406,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.407,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.408,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.409,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.410,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.411,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.412,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.413,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.414,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.415,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.416,"",
